squareFeet,bathrooms,bedrooms,full_url,url,price,price_noformat,saleDate,address,full_address,image,returned_address,latitude,longitude,accuracy
3000,2,6,http://auctions.buildingdetroit.org/Listing/Details/938475/2236-Euclid,/Listing/Details/938475/2236-Euclid,"$1,000 ",1000,11/3/2014,2236 Euclid,"2236 Euclid, Detroit, MI",Content/listingImages/20141020/752c3501-aaa6-4c41-8660-2f957e9cb0e2_thumbcrop.jpg,"2236 Euclid Avenue, Detroit, MI 48206, USA",42.369325,-83.099913,9
3000,2,6,http://auctions.buildingdetroit.org/Listing/Details/766579/2236-Euclid,/Listing/Details/766579/2236-Euclid,"$1,000 ",1000,9/25/2014,2236 Euclid,"2236 Euclid, Detroit, MI",Content/listingImages/20140828/51ede802-51a9-47ad-bb0f-11251caa1650_thumbcrop.jpg,"2236 Euclid Avenue, Detroit, MI 48206, USA",42.369325,-83.099913,9
3000,2,6,http://auctions.buildingdetroit.org/Listing/Details/730412/394-Piper,/Listing/Details/730412/394-Piper,"$36,500 ",36500,9/15/2014,394  Piper,"394  Piper, Detroit, MI",Content/listingImages/20140902/4fe4fdcc-63f6-4d28-8d08-93d041be4753_thumbcrop.jpg,"394 Piper Boulevard, Detroit, MI 48215, USA",42.363184,-82.943082,9
3000,2,6,http://auctions.buildingdetroit.org/Listing/Details/655410/2236-W-Euclid,/Listing/Details/655410/2236-W-Euclid,"$1,000 ",1000,8/12/2014,2236 W. Euclid,"2236 W. Euclid, Detroit, MI",Content/listingImages/20140802/5a678170-5797-4f48-b816-5816802569cc_thumbcrop.jpg,"2236 Euclid Avenue, Detroit, MI 48206, USA",42.369325,-83.099913,9
2900,3.1,4,http://auctions.buildingdetroit.org/Listing/Details/393392/1756-W-Boston-Blvd,/Listing/Details/393392/1756-W-Boston-Blvd,"$43,100 ",43100,5/31/2014,1756 W. Boston Blvd,"1756 W. Boston Blvd, Detroit, MI",Content/listingImages/20140523/b0a5565d-b4d0-4649-9ff6-44967b495ab0_thumbcrop.jpg,"1756 West Boston Boulevard, Detroit, MI 48206, USA",42.381524,-83.102644,9
2900,2,6,http://auctions.buildingdetroit.org/Listing/Details/566444/1715-Atkinson,/Listing/Details/566444/1715-Atkinson,"$1,800 ",1800,7/29/2014,1715 Atkinson,"1715 Atkinson, Detroit, MI",Content/listingImages/20140715/8fe4c93d-9135-4ada-b70f-f6a1bfcd3ccd_thumbcrop.jpg,"1715 Atkinson Street, Detroit, MI 48206, USA",42.37734,-83.098889,9
2800,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/551900/5096-Burns,/Listing/Details/551900/5096-Burns,"$2,100 ",2100,7/11/2014,5096 Burns,"5096 Burns, Detroit, MI",Content/listingImages/20140703/17086f42-1d23-427b-ab8b-63acfbce2b38_thumbcrop.jpg,"5096 Burns Avenue, Detroit, MI 48213, USA",42.379685,-83.007285,9
2800,2,6,http://auctions.buildingdetroit.org/Listing/Details/691269/2957-Leslie,/Listing/Details/691269/2957-Leslie,"$1,600 ",1600,8/25/2014,2957 Leslie,"2957 Leslie, Detroit, MI",Content/listingImages/20140814/10fb149d-a3e0-43c9-936c-879690a97343_thumbcrop.jpg,"2957 Leslie Street, Detroit, MI 48238, USA",42.387717,-83.123093,9
2800,2,4,http://auctions.buildingdetroit.org/Listing/Details/398542/1181-Atkinson,/Listing/Details/398542/1181-Atkinson,"$13,300 ",13300,6/1/2014,1181 Atkinson,"1181 Atkinson, Detroit, MI",Content/listingImages/20140523/6cdb7475-5187-40ec-946b-ac2f84e89012_thumbcrop.jpg,"1181 Atkinson Street, Detroit, MI 48202, USA",42.379643,-83.092494,9
2700,2,6,http://auctions.buildingdetroit.org/Listing/Details/881326/2283-Clairmount,/Listing/Details/881326/2283-Clairmount,"$1,000 ",1000,11/3/2014,2283 Clairmount,"2283 Clairmount, Detroit, MI",Content/listingImages/20141003/51aa981d-0533-4339-aeb2-6bd6505d8569_thumbcrop.jpg,"2283 Clairmount Avenue, Detroit, MI 48206, USA",42.374314,-83.10414,9
